id,name,address,opening_hours
22,Torralba-Palomo,"Paseo de Reyes Abellán, 282, Madrid",8:00-20:00
64,Coloma PLC,"Calle de Lupe Escamilla, 9, Santa Cruz de Tenerife",9:00-19:00
12,"Palacios, Mosquera and Roura","Pasaje Guillermo Cabañas, 70, Huelva",8:00-21:00
48,"Sacristán, Higueras and Grande","Ronda Ambrosio Iborra, 648, León",10:00-21:00
8,Bárcena-Mateu,"Cuesta de Haydée Lucas, 45, Badajoz",10:00-22:00
23,Llobet PLC,"Plaza Amelia Solís, 53, Palencia",8:00-19:00
75,"Castillo, Bonet and Roma","Cuesta de María Manuela Guerrero, 16, Teruel",10:00-18:00
1,Criado and Sons,"Via de Filomena Ferrer, 67, Granada",10:00-22:00
15,Paz-Sierra,"Urbanización Morena Guitart, 52, Murcia",10:00-18:00
38,Gordillo-Figueras,"C. Eloísa Neira, 67, Santa Cruz de Tenerife",10:00-22:00
36,Ferreras Inc,"Pasaje Fabián Cámara, 93, Badajoz",10:00-18:00
41,Cuesta-Pla,"Paseo de Almudena Iglesias, 506, Asturias",10:00-21:00
67,Seco Inc,"Paseo de Melchor Múñiz, 4, Cáceres",10:00-20:00
89,Figuerola-Benito,"Paseo Emilia Aranda, 41, Jaén",8:00-20:00
14,Ibañez Inc,"Rambla de María Jesús Sanchez, 82, Lleida",8:00-20:00
34,"Millán, Higueras and Martorell","Via de Maribel Calvet, 12, Palencia",10:00-21:00
94,Ariño-Maza,"Rambla Yéssica Palomino, 38, Salamanca",8:00-20:00
37,Rivera-Serra,"Rambla de Samu Montero, 40, Baleares",9:00-20:00
78,Oliva-Olivares,"Camino Donato Garcia, 49, Cáceres",9:00-21:00
9,Montesinos and Sons,"Alameda de Azeneth Rico, 8, Santa Cruz de Tenerife",8:00-19:00
